ticker,price,dd52,vs200,pos5y,vol,quality,why,revenue,rev_chg,fwdPE,peg
META,571.3300170898438,-0.2653604204411367,-0.08106077886735574,0.6909847285036956,0.3872313700153066,PASS,,FEAR,0.27959003283104633,16.34255,0.5836624999999999
NXPI,223.97000122070312,-0.3244665286399335,-0.07423830821885191,0.4694108953174668,0.48789270504199866,PASS,,FEAR,0.19480519480519476,12.3773775,0.6347373076923076
AVGO,370.7651062011719,-0.2288724493976605,0.005777173499326382,0.7501613274099838,0.48278075858892694,PASS,,FEAR,0.47873900293255134,19.00149,0.3966908141962422
KLAC,174.89500427246094,-0.41966559702513484,0.029021547995911945,0.5417464686311184,0.5984457970663551,PASS,,FEAR,0.15208012244148428,26.190142,1.723035657894737
ON,73.75,-0.44933917693451564,-0.05247246881574319,0.4098843160605987,0.6146712969269899,PASS,,FEAR,0.09178184789269417,16.283922,1.7699915217391307
MPWR,1258.9200439453125,-0.25389170169653974,0.013691332988214455,0.6910994277059102,0.5336279079647382,PASS,,FEAR,0.4755948923671405,36.18103,0.7601056722689077
CDNS,340.0400085449219,-0.18336176041103858,0.03880268378062346,0.728716595715796,0.39885794856824086,PASS,,FEAR,0.24227698498009698,35.617477,1.4717965702479339
ADSK,259.6499938964844,-0.20545308269181117,0.04598336267827552,0.5630425011255079,0.3675983945926314,PASS,,FEAR,0.18432333129210043,18.273848,1.1350216149068322
PWR,605.489990234375,-0.22879311833948812,0.03671273893685645,0.7392451351154695,0.4413234781121329,PASS,,FEAR,0.41104194931438864,30.802952,0.7494635523114357
GEV,891.8900146484375,-0.24085420750665,0.015309698940438654,0.7311899540842461,0.5250466470701138,PASS,,FEAR,0.218746570080123,35.509647,1.6214450684931507
TSLA,366.05999755859375,-0.25275578935669885,-0.08613067920699402,0.6756770777784765,0.46764991093651453,PASS,,FEAR,0.25515647226173543,169.55359,6.649160392156864
MU,947.4400024414062,-0.21916864814780346,0.600915985880242,0.7718156347091103,0.8136658154161729,PASS,,FEAR,3.457155144608107,6.1180363,0.01769753051778999
AMD,469.17498779296875,-0.19234475308924104,0.3934135492024211,0.7871592838158229,0.7171535855668659,PASS,,FEAR,0.5011060507482108,30.355846,0.6059051097804391
ASML,1689.3900146484375,-0.1497230782992991,0.15416753731369193,0.8164660097540505,0.4639644752663116,PASS,,FEAR,0.212540790722467,28.205622,1.3242076056338028
